raw_regime,market_return,cross_sectional_dispersion,breadth,realized_volatility_20d,trend_60d,liquidity_stress,sector_dispersion,sector_return_max_minus_min,market_move_to_dispersion,stress_score,regime,mapping_method,match_distance,regime_model_id,fit_start_date,fit_end_date
0,0.004272661414888224,0.01142996239098206,0.6259880005622094,0.015754665412454148,-0.0504673189316685,0.11610749912244177,0.008015483639812948,0.023813049278173307,1.1416226623388137,2.6136346717351095,2,sequential_centroid_match,0.03013660315467544,11,2018-03-29,2020-02-12
1,0.0002637513672755951,0.008781861985940309,0.5106706868319261,0.00687001627715131,0.06152655005834054,-0.01225068836958202,0.0061473931793796475,0.018336211695665544,0.6581113241169827,-2.361678841778792,0,sequential_centroid_match,0.0314240804977171,11,2018-03-29,2020-02-12
2,-0.01229537860714274,0.018969547577494965,0.19847376967551722,0.012075633246373053,-0.023608770766057177,-0.330759520953719,0.014207967979378549,0.04302405076217014,0.5079851927927299,6.660514798218647,3,sequential_centroid_match,0.14581842576209975,11,2018-03-29,2020-02-12
3,0.005386330589037046,0.015015206964381776,0.6620279251197693,0.007693894443415979,0.054907265675004834,-0.1312333268004707,0.011036205314008184,0.033545338177206806,0.4052802384498915,0.1792305436378725,1,sequential_centroid_match,0.07958994615425548,11,2018-03-29,2020-02-12
0,0.0008901416121085263,0.008822533614393321,0.5121542771061836,0.006920613467143382,0.05967531917374705,0.015200573911993642,0.006112419280716195,0.018340532533826753,0.6595147770520449,-2.3206962679023238,0,sequential_centroid_match,0.03485990321343887,12,2018-03-29,2020-03-12
1,-0.01982348478632815,0.02254978607965282,0.16009996976009755,0.01476042957594146,-0.04140333614243678,-0.5749045231294184,0.017238280744226123,0.05178979292412586,0.4777581772870622,8.349796915773734,3,sequential_centroid_match,0.6050841359834455,12,2018-03-29,2020-03-12
2,0.0009269648134259184,0.012093732107693498,0.5732061430642167,0.016431095791278806,-0.05019210296790028,-0.027487506104949586,0.00853204873297187,0.025172000701345596,1.1181083938965284,2.621233238728838,2,sequential_centroid_match,0.20898080485769907,12,2018-03-29,2020-03-12
3,0.003479535020880465,0.015116079956073707,0.603777390432007,0.00788775818713366,0.051783819715899196,-0.1431793279238326,0.011258273295701726,0.03409431259263017,0.41464427796547343,0.3489881647118349,1,sequential_centroid_match,0.10700153880756193,12,2018-03-29,2020-03-12
0,-0.009263497071176702,0.04962375369994219,0.33205631424266113,0.0506874513550825,-0.2420371632665751,-1.2146632817219283,0.039150248713710645,0.11797273658698962,0.8035284244191004,19.306166267486358,3,sequential_centroid_match,4.0869720686831545,13,2018-03-29,2020-04-09
1,0.003560429789591345,0.009998490942806127,0.5767082027792398,0.008437918034864223,0.04421741349618403,0.022326130032597008,0.00703361528397381,0.021116341207859858,0.7035414998926248,-1.641941816036164,0,sequential_centroid_match,0.218356817150235,13,2018-03-29,2020-04-09
2,-0.009331396934648852,0.01722772420036575,0.3599081689101059,0.012033415122091383,0.009346001412302409,-0.33625927293533986,0.012917635421499554,0.038811416321061804,0.5201974078703455,2.078120729374103,1,sequential_centroid_match,0.6601751382215633,13,2018-03-29,2020-04-09
3,0.01696375198446118,0.02483358594636033,0.7668177687487218,0.04688284746617806,-0.19596465554742154,-0.011571529878491263,0.018857772239306583,0.0565256727600334,1.8707754947949655,9.968130164813285,2,sequential_centroid_match,2.8035944723137325,13,2018-03-29,2020-04-09
0,-0.009283499421957738,0.017118697285883475,0.35749181374256755,0.012633828276785978,0.007213390464728384,-0.30909419216333167,0.01286627005501777,0.038570518345457286,0.5539728466246714,1.8835572431780714,1,sequential_centroid_match,0.0420953964254594,14,2018-03-29,2020-05-08
1,0.0037978439513231743,0.009998723256590111,0.581449675688734,0.00834874919267992,0.045180628846273156,0.030091644307429125,0.00704708122596376,0.02113089562886751,0.7009256004591466,-1.87939849397059,0,sequential_centroid_match,0.011293758405887283,14,2018-03-29,2020-05-08
2,0.011964945815214767,0.023156258778121115,0.6829383961005023,0.040743512969335205,-0.15130757361896918,0.09286031014924645,0.01778983647637663,0.05283109331573626,1.6507856100779872,8.316738180772685,2,sequential_centroid_match,0.39110577436605665,14,2018-03-29,2020-05-08
3,-0.0053689528244599705,0.04914994588130913,0.37820205625387804,0.049776747308652516,-0.21947905851264848,-1.01858755955844,0.03923888499133463,0.11746682282390625,0.7709807766030364,18.12154119763293,3,sequential_centroid_match,0.21407091594003885,14,2018-03-29,2020-05-08
0,-0.019675210239101775,0.014324901214517894,0.1816138990626151,0.013831706183511613,-0.011984064848212038,-0.2412609253148552,0.010456864709343646,0.03113287550514641,0.7627793520786593,2.2349632903501058,1,sequential_centroid_match,0.43040556796777396,15,2018-03-29,2020-06-08
1,0.004896258136921826,0.03413966252533847,0.549975889053506,0.048721048011431005,-0.20434215881787038,-0.27106266200773416,0.02700900626485326,0.08033072391264963,1.5030017604250014,13.44591263519609,3,sequential_centroid_match,1.4738520324185422,15,2018-03-29,2020-06-08
2,0.003004161332729748,0.009545604860805256,0.5686693660080029,0.0078636168987699,0.049785210269569995,0.038406171982087706,0.0066944598278569824,0.020046711100984792,0.7044535731543452,-2.1031489396135914,0,sequential_centroid_match,0.048717062413450335,15,2018-03-29,2020-06-08
3,0.009287668633182738,0.018389558926775473,0.6638979295050693,0.013800549939172011,0.022882767649622673,-0.18686746464484533,0.014172896590611198,0.0425269160580979,0.551195920302514,0.9744352034529471,2,sequential_centroid_match,1.490855367894398,15,2018-03-29,2020-06-08
0,0.01193502381710316,0.01800411531765701,0.7101329079252642,0.013761014081257572,0.03836433453799071,-0.14354067026495512,0.013930252516115602,0.041808590349650204,0.5696180424188431,0.5996445637247719,2,sequential_centroid_match,0.11249978168783956,16,2018-03-29,2020-07-07
1,0.0027143971128631935,0.009524801234469877,0.5655452582459318,0.008459655633615393,0.054119643390301064,0.04373875613172108,0.006664344611348571,0.019925686396353205,0.7381164197153801,-2.030156031942337,0,sequential_centroid_match,0.03898338467331728,16,2018-03-29,2020-07-07
2,-0.018113929107097693,0.015817812900051506,0.2082279769360535,0.013479770039272743,0.0005160444914058329,-0.2826071608190604,0.01185452355109482,0.0353330575095679,0.6670549282346296,2.3503964882471102,1,sequential_centroid_match,0.1686311585445546,16,2018-03-29,2020-07-07
3,0.004555762840954934,0.03426279902942265,0.5448306397366023,0.04931606740435735,-0.19733681133781847,-0.255647355276672,0.027209701306645524,0.08097593107818536,1.5289446135235245,13.479538779110127,3,sequential_centroid_match,0.046958288495117066,16,2018-03-29,2020-07-07
0,0.003264709617625174,0.009726432760000053,0.5745775051792299,0.008654160087338063,0.05684874336320714,0.04677124053750814,0.00685157203883957,0.02042792352105948,0.7394054517188452,-2.0252870426719247,0,sequential_centroid_match,0.025867543756579795,17,2018-03-29,2020-08-04
1,0.008780507530491028,0.019053238591036473,0.6556203005165175,0.014031730041216692,0.040334266451466455,-0.17705236895164583,0.014782239720593879,0.04433291348611576,0.5406916994914616,1.1559014385030917,2,sequential_centroid_match,0.1285276529135315,17,2018-03-29,2020-08-04
2,0.004410530680366049,0.0343544965549427,0.542337775494786,0.04945290672361269,-0.19305176809981903,-0.2462683859821286,0.027284929270371006,0.08124268859959945,1.5387211816301574,13.534870174477565,3,sequential_centroid_match,0.021883032071718534,17,2018-03-29,2020-08-04
3,-0.019892683657060657,0.014589327123599028,0.17809397980967356,0.01302472574807749,0.002109449526200964,-0.2523667720267676,0.010776471745549574,0.03203161916637746,0.7110129078610201,2.0413265459391723,1,sequential_centroid_match,0.12195098640887232,17,2018-03-29,2020-08-04
0,0.008142651673945787,0.01886617469377422,0.6446441266804646,0.012935072679687003,0.051131529191718386,-0.1704474545139208,0.014684065550484692,0.04417014985280851,0.5050085478876843,0.986482177371369,2,sequential_centroid_match,0.064794856929251,18,2018-03-29,2020-09-01
1,-0.02006914151518204,0.014590860844693434,0.1731917048949717,0.013250073404235903,0.0011436803616769534,-0.2531139336622768,0.010776126464611667,0.03202964495484304,0.7231357567356593,2.138992581657428,1,sequential_centroid_match,0.014609114075394159,18,2018-03-29,2020-09-01
2,0.003213324911757128,0.00972922230316018,0.573490828181255,0.008715586167686517,0.05841224969622991,0.05111438637801213,0.006858915525617805,0.02044641648609421,0.7446397846477775,-1.9917879055045853,0,sequential_centroid_match,0.008514202769122977,18,2018-03-29,2020-09-01
3,0.004459517834310655,0.0343343327121889,0.5437527149733943,0.04941715964466531,-0.19473696380363914,-0.2537770199952552,0.027269042255481823,0.08124814000828047,1.5396921426961427,13.576989422353714,3,sequential_centroid_match,0.009214497673557509,18,2018-03-29,2020-09-01
0,0.004393482214471193,0.03432011347052863,0.5433177541395758,0.04944635952746268,-0.19348340567626737,-0.25231204203056606,0.027306416122532824,0.08137996059966017,1.5431524576720874,13.699303070034004,3,sequential_centroid_match,0.006676011120419522,19,2018-03-29,2020-09-30
1,0.0038150478543176256,0.009874353388048509,0.5843031855795093,0.00897696617054375,0.05888555937262509,0.051512051324230215,0.0069942874118772095,0.020862386928081608,0.7511225153332484,-1.990726466121861,0,sequential_centroid_match,0.02442550642677263,19,2018-03-29,2020-09-30
2,-0.01939715441340421,0.014643659810970613,0.18160712215508656,0.012852907249455679,0.008427803982027925,-0.25814265223131067,0.010916598390133557,0.032473617761234225,0.7022788734830854,1.9991670432845825,1,sequential_centroid_match,0.040568617191290714,19,2018-03-29,2020-09-30
3,0.007505480351270042,0.01928959802153811,0.6340344894092435,0.012926802200079622,0.05409590366296473,-0.18841475215114115,0.01510888027281834,0.045480982274526,0.48525835031297027,1.150962112200792,2,sequential_centroid_match,0.0491688520101405,19,2018-03-29,2020-09-30
0,0.004330466224043325,0.03432642104704524,0.5434525346138724,0.049460300008379025,-0.19300987181058382,-0.24770691085040647,0.02732378762478905,0.08143053832813671,1.544537251325858,13.870157492310414,3,sequential_centroid_match,0.004754346768740458,20,2018-03-29,2020-10-28
1,-0.017127852596578657,0.013355190750025406,0.220195262044119,0.012063397666220717,0.016014182043270982,-0.19240273483949522,0.009785424877384614,0.02906273268668314,0.7300212235156557,1.293568735342548,1,sequential_centroid_match,0.14340776214251674,20,2018-03-29,2020-10-28
2,0.006251392696853401,0.019845714031392077,0.6133356039698056,0.013094581606553872,0.05280164160484484,-0.2100976329078978,0.015582267308304648,0.04691556811522781,0.46663850732816253,1.453175529147051,2,sequential_centroid_match,0.06287713220252605,20,2018-03-29,2020-10-28
3,0.00536870833357047,0.010108492547824928,0.6111215418477189,0.009099158733282715,0.06176264976596102,0.06370395000145836,0.007186475377109329,0.021471497566684802,0.7491471183649292,-2.0523498217335514,0,sequential_centroid_match,0.052491301002591195,20,2018-03-29,2020-10-28
0,0.00528759271672116,0.010214381730612057,0.6105221926060255,0.009179586636054992,0.06219951683789249,0.05456849041867798,0.007280589775909832,0.021859552129302733,0.7435039992787157,-2.0120104310770524,0,sequential_centroid_match,0.013924384610510637,21,2018-03-29,2020-11-25
1,-0.017065170364548923,0.013284185854753619,0.2193419427723427,0.012215588912764894,0.015849762814498815,-0.19240414613297768,0.009675968036047465,0.02878701563144597,0.7417458437836542,1.2363968170286754,1,sequential_centroid_match,0.014067070411941782,21,2018-03-29,2020-11-25
2,0.00690226291070995,0.02044460365375934,0.6189128391374473,0.013353802321192935,0.05039162923201168,-0.21650541541884338,0.016294327302008367,0.04845788813490521,0.48869791607968793,1.508633503016818,2,sequential_centroid_match,0.062170259073815515,21,2018-03-29,2020-11-25
3,0.0051565104659068725,0.03559242062261596,0.5476298335796707,0.04833856505524732,-0.18604125974979704,-0.30869050237583423,0.028721295445208236,0.08471223453615677,1.492712247633074,13.517735123373877,3,sequential_centroid_match,0.14068627088661154,21,2018-03-29,2020-11-25
0,-0.01697158647825753,0.013274298255512892,0.2190726431695641,0.012101826879345814,0.018249586981806325,-0.19351352376093117,0.009703779932215054,0.028916249209433486,0.7374017637455145,1.2453670481949533,1,sequential_centroid_match,0.011190540629629913,22,2018-03-29,2020-12-24
