raw_regime,regime,stress_score,mapping_method,match_distance,regime_model_id,fit_start_date,fit_end_date,assignment_start_date,assignment_end_date
1,3,14.095710518828252,sequential_centroid_match,0.013600369057328171,26,2018-03-29,2021-04-22,2021-04-23,2021-05-20
2,0,-1.9964312705063894,sequential_centroid_match,0.009075467219093488,26,2018-03-29,2021-04-22,2021-04-23,2021-05-20
3,2,1.3069305765010766,sequential_centroid_match,0.014984585709381808,26,2018-03-29,2021-04-22,2021-04-23,2021-05-20
0,1,1.2189418904288272,sequential_centroid_match,0.026664969530858763,27,2018-03-29,2021-05-20,2021-05-21,2021-06-18
1,2,1.2876726826851828,sequential_centroid_match,0.015799609794515924,27,2018-03-29,2021-05-20,2021-05-21,2021-06-18
2,3,14.24454408152717,sequential_centroid_match,0.004493555271697941,27,2018-03-29,2021-05-20,2021-05-21,2021-06-18
3,0,-2.0172706548649377,sequential_centroid_match,0.010283841671726624,27,2018-03-29,2021-05-20,2021-05-21,2021-06-18
0,0,-1.9975100637355472,sequential_centroid_match,0.008761683250093895,28,2018-03-29,2021-06-18,2021-06-21,2021-07-19
1,2,1.3389354326974388,sequential_centroid_match,0.003517624120515318,28,2018-03-29,2021-06-18,2021-06-21,2021-07-19
2,1,1.2306641378779535,sequential_centroid_match,0.010269058845270827,28,2018-03-29,2021-06-18,2021-06-21,2021-07-19
3,3,14.387075716393932,sequential_centroid_match,0.004022116700781939,28,2018-03-29,2021-06-18,2021-06-21,2021-07-19
0,0,-2.002832419065767,sequential_centroid_match,0.008105497394339627,29,2018-03-29,2021-07-19,2021-07-20,2021-08-16
1,2,1.3539170046497637,sequential_centroid_match,0.01090657020847297,29,2018-03-29,2021-07-19,2021-07-20,2021-08-16
2,1,1.282634330388534,sequential_centroid_match,0.007145716242452588,29,2018-03-29,2021-07-19,2021-07-20,2021-08-16
3,3,14.53596716550931,sequential_centroid_match,0.004643928184624635,29,2018-03-29,2021-07-19,2021-07-20,2021-08-16
0,0,-1.9842217020557502,sequential_centroid_match,0.004774315847360921,30,2018-03-29,2021-08-16,2021-08-17,2021-09-14
1,2,1.3973433529326533,sequential_centroid_match,0.006860377181346933,30,2018-03-29,2021-08-16,2021-08-17,2021-09-14
2,1,1.2960632014102897,sequential_centroid_match,0.010534850262805916,30,2018-03-29,2021-08-16,2021-08-17,2021-09-14
3,3,14.691238892785165,sequential_centroid_match,0.0031558398738658145,30,2018-03-29,2021-08-16,2021-08-17,2021-09-14
0,1,1.255444538595152,sequential_centroid_match,0.01383742066474515,31,2018-03-29,2021-09-14,2021-09-15,2021-10-12
1,0,-1.963394396310011,sequential_centroid_match,0.006612852021794986,31,2018-03-29,2021-09-14,2021-09-15,2021-10-12
2,2,1.4292917758603747,sequential_centroid_match,0.004399639933002666,31,2018-03-29,2021-09-14,2021-09-15,2021-10-12
3,3,14.857037857961204,sequential_centroid_match,0.004398385579317153,31,2018-03-29,2021-09-14,2021-09-15,2021-10-12
